0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, weight
50.93, 14.61, 26.9, 49.4, 1.53, 22.04, 27.79, 73.06, 15.25, 10.61, 12.27, 10.62, 0.27, 0.78, 13.07, 6.53, 77.2, 208.75, 71.74, 14.27, 2.67, 3.62, 1.84, 33.92, 312.18, 308.25, 75.65, 36.6, 21.13, 20.8, 66.58, 29.77, 114.21, 234.57, 43.29, 22.67, 21.91, 22.01, 75.55, 32.44, 45.39, 104.46, 32.96, 19.75, 7.98, 31.24, 39.67, 105.89, 0.0
62.26, 15.12, 26.46, 38.39, 51.19, 26.78, 95.85, 83.44, 32.45, 7.13, 11.65, 38.7, 29.42, 13.61, 50.1, 17.84, 109.83, 257.02, 63.05, 16.23, 10.77, 16.68, 0.59, 14.36, 207.26, 448.23, 157.17, 30.77, 19.54, 20.95, 71.34, 35.63, 83.82, 314.39, 51.5, 33.87, 13.66, 27.09, 80.36, 41.06, 68.71, 135.8, 45.53, 29.37, 33.1, 22.24, 39.44, 120.74, 0.0
57.53, 32.27, 69.16, 80.16, 22.81, 10.94, 25.6, 73.98, 30.4, 9.06, 8.42, 28.01, 1.45, 3.65, 27.17, 24.6, 58.07, 272.43, 52.35, 24.19, 6.31, 2.0, 3.82, 17.12, 140.57, 414.75, 118.65, 42.32, 21.99, 23.68, 65.74, 32.4, 74.54, 346.92, 54.62, 48.76, 31.87, 31.27, 65.78, 38.7, 85.82, 126.23, 34.65, 17.67, 42.6, 35.11, 39.46, 114.2, 0.0
124.31, 55.95, 46.92, 76.09, 46.84, 34.5, 66.55, 46.76, 39.12, 23.26, 41.07, 50.7, 57.1, 47.0, 54.94, 28.6, 115.02, 328.31, 43.39, 37.71, 25.53, 29.12, 36.51, 45.2, 128.79, 492.95, 167.03, 51.07, 32.08, 43.19, 62.95, 67.87, 98.33, 358.75, 62.88, 66.82, 57.2, 53.13, 87.21, 131.33, 97.27, 164.91, 58.97, 64.29, 72.06, 71.84, 53.25, 102.4, 0.0
41.76, 40.91, 43.33, 49.62, 30.88, 32.29, 45.12, 43.98, 8.61, 4.34, 33.4, 43.96, 40.82, 38.29, 29.3, 10.4, 87.32, 237.54, 18.32, 8.93, 6.97, 11.93, 15.08, 41.41, 86.07, 402.83, 23.65, 18.94, 13.78, 14.31, 33.63, 38.03, 70.51, 248.9, 21.23, 24.84, 17.68, 30.41, 59.32, 132.08, 77.67, 109.88, 40.1, 35.37, 60.66, 44.16, 48.68, 123.05, 0.0
65.03, 39.54, 53.51, 80.04, 31.23, 42.97, 52.5, 30.15, 23.3, 20.15, 30.69, 48.25, 36.15, 51.23, 34.19, 9.02, 121.89, 269.31, 12.34, 15.12, 14.66, 4.33, 12.39, 20.74, 156.36, 348.23, 38.37, 45.8, 24.44, 12.24, 20.32, 38.06, 162.4, 292.2, 41.1, 59.51, 31.11, 22.44, 45.97, 187.75, 107.43, 111.91, 41.3, 60.02, 49.15, 38.89, 58.11, 189.95, 0.0
45.61, 5.75, 16.61, 47.04, 25.87, 21.49, 50.02, 34.8, 20.32, 12.95, 0.33, 0.82, 32.82, 23.79, 8.17, 27.74, 130.06, 214.09, 16.2, 15.81, 1.23, 0.42, 0.55, 19.04, 159.87, 266.99, 13.91, 35.3, 12.58, 6.31, 23.71, 23.44, 158.14, 197.86, 32.76, 23.11, 17.28, 35.86, 28.95, 127.32, 62.44, 76.25, 31.6, 9.5, 3.46, 55.28, 24.41, 158.72, 0.0
63.08, 75.01, 48.75, 61.31, 16.17, 44.63, 23.64, 46.4, 27.88, 3.85, 37.93, 32.71, 9.87, 28.92, 17.57, 20.01, 163.37, 225.27, 26.51, 13.88, 0.65, 1.13, 1.15, 4.64, 221.13, 274.08, 31.51, 28.8, 14.93, 12.87, 28.06, 29.87, 189.86, 184.63, 24.31, 12.49, 10.38, 24.26, 30.03, 177.79, 91.26, 85.72, 55.01, 15.95, 11.26, 36.31, 41.59, 145.1, 0.0
46.05, 11.03, 66.73, 76.6, 23.58, 40.64, 16.38, 22.97, 31.2, 14.44, 19.15, 6.84, 13.16, 21.68, 13.78, 11.0, 137.01, 171.57, 31.54, 17.5, 0.99, 14.08, 0.58, 36.07, 298.17, 246.15, 30.73, 31.11, 18.72, 15.44, 11.55, 16.05, 206.15, 142.29, 31.0, 33.07, 15.78, 27.45, 36.79, 245.71, 63.91, 77.2, 29.92, 31.66, 1.61, 47.94, 41.56, 168.05, 0.0
37.98, 30.29, 72.52, 77.95, 45.68, 44.19, 82.78, 43.09, 32.23, 16.19, 8.17, 47.9, 32.01, 33.54, 48.28, 3.97, 154.48, 181.06, 15.68, 22.01, 11.23, 1.37, 0.92, 22.5, 244.72, 287.92, 31.42, 45.78, 31.93, 18.54, 19.68, 49.9, 217.63, 170.06, 29.21, 83.89, 28.68, 42.34, 34.34, 294.66, 100.75, 104.68, 42.91, 65.02, 30.42, 44.52, 36.62, 228.35, 0.0
75.63, 45.21, 72.66, 72.98, 43.12, 34.18, 10.28, 23.87, 17.51, 11.76, 27.06, 21.32, 45.99, 23.92, 27.93, 9.33, 155.37, 170.29, 7.96, 11.82, 2.61, 4.56, 3.45, 47.26, 203.88, 282.19, 23.06, 30.83, 13.35, 24.48, 35.43, 33.68, 204.9, 164.82, 29.17, 57.49, 15.84, 19.95, 20.9, 319.59, 91.62, 58.1, 30.67, 56.78, 24.53, 41.28, 36.74, 120.38, 0.0
38.72, 29.47, 48.71, 69.8, 17.6, 33.51, 65.14, 27.93, 24.34, 8.96, 17.12, 41.16, 40.24, 19.27, 22.13, 22.11, 161.1, 143.89, 8.1, 18.88, 4.78, 3.06, 10.37, 49.27, 246.69, 341.09, 23.65, 36.44, 15.76, 23.29, 31.06, 43.04, 209.82, 168.85, 22.44, 47.98, 12.71, 33.96, 17.9, 261.43, 92.19, 64.9, 17.28, 28.0, 17.12, 50.73, 28.98, 126.45, 0.0
